低楼层(共34层),1994年,3室1厅,84.31平米,西南,荟芳园,465,5.515359981022417,84.31
低楼层(共31层),2013年,3室2厅,45.06平米,南,阳光里,450,9.986684420772303,45.06
低楼层(共31层),2013年,3室1厅,45.51平米,东,阳光里,420,9.22874093605801,45.51
中楼层(共15层),2009年,3室1厅,49.19平米,南,雷圳碧榕湾海景花园,458,9.310835535677985,49.19
低楼层(共24层),1993年,3室1厅,72.74平米,西北,钜建大厦,400,5.499037668408029,72.74
中楼层(共26层),2018年,3室2厅,62.32平米,东南,前海枫叶大厦,400,6.418485237483954,62.32
高楼层(共33层),2004年,3室2厅,105.9平米,南,现代城华庭,620,5.854579792256846,105.9
高楼层(共33层),2004年,3室2厅,105.95平米,东南,现代城华庭,650,6.134969325153374,105.95
中楼层(共33层),2004年,3室2厅,79.59平米,东北,现代城华庭,560,7.036059806508355,79.59
中楼层(共33层),2002年,3室1厅,87.71平米,西南,万象新园,600,6.840725116862388,87.71
中楼层(共33层),2004年,3室2厅,125.87平米,东北,现代城华庭,700,5.561293397950266,125.87
高楼层(共33层),2004年,3室2厅,105.98平米,西南,现代城华庭,680,6.416304963200604,105.98
高楼层(共32层),2002年,3室1厅,78.46平米,东,万象新园,555,7.073668111139435,78.46
高楼层(共33层),2004年,3室2厅,105.98平米,南,现代城华庭,688,6.49179090394414,105.98
高楼层(共33层),2004年,3室2厅,81.62平米,东南,现代城华庭,610,7.473658417054643,81.62
低楼层(共32层),2002年,3室2厅,84.9平米,东北,万象新园,568,6.6902237926972905,84.9
中楼层(共33层),2004年,3室2厅,118.77平米,南,现代城华庭,692,5.82638713479835,118.77
高楼层(共33层),2002年,3室1厅,102.44平米,西北,万象新园,628,6.13041780554471,102.44
中楼层(共33层),2002年,3室2厅,99.98平米,西南,万象新园,588,5.881176235247049,99.98
中楼层(共33层),2002年,3室2厅,87.71平米,东南,万象新园,560,6.384676775738229,87.71
高楼层(共32层),2002年,3室1厅,84.59平米,东北,万象新园,588,6.9511762619695,84.59
低楼层(共33层),2002年,3室1厅,87.71平米,西南,万象新园,600,6.840725116862388,87.71
中楼层(共21层),1999年,3室2厅,91.52平米,西,海典居,580,6.3374125874125875,91.52
低楼层(共21层),1999年,3室2厅,104.38平米,东,海典居,599,5.738647250431117,104.38
中楼层(共23层),1995年,3室1厅,97.06平米,南,荔园大厦,550,5.666597980630538,97.06
低楼层(共19层),2000年,3室2厅,101.09平米,东南,中海丽苑,630,6.23207043228806,101.09
高楼层(共26层),2002年,3室2厅,90.59平米,南,东方海雅居,616,6.799867535048018,90.59
低楼层(共19层),2000年,3室1厅,101平米,南,中海丽苑,630,6.237623762376238,101.0
高楼层(共31层),1998年,3室2厅,118.76平米,南,鹏都大厦,630,5.30481643651061,118.76
高楼层(共18层),1999年,3室2厅,120.49平米,南,天源大厦,610,5.062660801726285,120.49
低楼层(共9层),1998年,3室2厅,71.94平米,北,南新苑,430,5.977203224909647,71.94
低楼层(共28层),1996年,3室2厅,86.68平米,西北,康乐大厦,450,5.191508998615597,86.68
高楼层(共31层),2011年,3室2厅,66.72平米,西,向南瑞峰花园,520,7.793764988009593,66.72
高楼层(共9层),1997年,3室2厅,112.88平米,南,南新苑,690,6.112686038270731,112.88
低楼层(共32层),2000年,3室1厅,116.59平米,西南,怡园大厦,540,4.6316150613260145,116.59
高楼层(共14层),2007年,3室1厅,58.67平米,南,美丽湾国际公寓,530,9.033577637634226,58.67
低楼层(共26层),2002年,3室2厅,77.36平米,东南,东方海雅居,548,7.083764219234746,77.36
中楼层(共23层),1995年,3室2厅,97.06平米,南,荔园大厦,480,4.9453946012775605,97.06
高楼层(共26层),2009年,3室1厅,66.45平米,东,向南海德大厦,480,7.223476297968397,66.45
低楼层(共11层),2003年,3室1厅,74.87平米,西,海岸明珠园,690,9.21597435554962,74.87
中楼层(共28层),1996年,3室2厅,86.68平米,东南,康乐大厦,485,5.595293031841255,86.68
中楼层(共31层),1993年,3室2厅,102.7平米,西南,愉康大厦,470,4.576436222005842,102.7
中楼层(共28层),1996年,3室2厅,86.66平米,东南,康乐大厦,449,5.181167782137088,86.66
低楼层(共17层),2012年,3室2厅,63.71平米,东南,中泰天成南山一品,628,9.857165280175796,63.71
高楼层(共32层),2003年,3室2厅,88.87平米,北东北,金晖大厦,485,5.457409699561157,88.87
高楼层(共32层),2000年,3室2厅,98.05平米,北,怡园大厦,460,4.691483936766955,98.05
低楼层(共24层),2006年,3室2厅,69.22平米,东南,南海大厦,485,7.006645478185495,69.22
中楼层(共32层),2000年,3室2厅,98.05平米,南,怡园大厦,458,4.671086180520143,98.05
中楼层(共32层),2000年,3室2厅,98.05平米,东南,怡园大厦,488,4.977052524222335,98.05
低楼层(共7层),1996年,3室2厅,92平米,南,愉康花园,498,5.413043478260869,92.0
中楼层(共26层),2002年,3室1厅,78.26平米,东,东方海雅居,550,7.027855865065167,78.26
低楼层(共12层),2004年,3室1厅,79.9平米,东南西南,新街口花园,580,7.259073842302878,79.9
低楼层(共28层),1996年,3室1厅,86.68平米,西北,康乐大厦,480,5.537609598523304,86.68
低楼层(共16层),1998年,3室1厅,91.32平米,东南南,世纪广场,516,5.650459921156374,91.32
中楼层(共31层),1998年,3室2厅,119.21平米,南,鹏都大厦,638,5.351900008388558,119.21
高楼层(共32层),2003年,3室2厅,88.87平米,东北,金晖大厦,588,6.616405986272082,88.87
中楼层(共7层),1995年,3室2厅,76.22平米,东南,康乐园,418,5.48412490160063,76.22
高楼层(共26层),2002年,3室2厅,90.69平米,东北,东方海雅居,650,7.1672731282390565,90.69
低楼层(共31层),1993年,3室1厅,102.7平米,南,愉康大厦,498,4.849074975657254,102.7
低楼层(共31层),1993年,3室1厅,102.7平米,东北,愉康大厦,680,6.621226874391431,102.7
中楼层(共9层),1997年,3室1厅,63.58平米,南,南海城中心,468,7.360805284680717,63.58
高楼层(共24层),2006年,3室2厅,68.04平米,南北西,南海大厦,620,9.112286890064667,68.04
中楼层(共31层),1993年,3室2厅,102.7平米,南西,愉康大厦,485,4.722492697176241,102.7
低楼层(共22层),1997年,3室1厅,131.6平米,东,山东大厦,650,4.939209726443769,131.6
中楼层(共9层),1997年,3室2厅,112.88平米,南北,南新苑,620,5.492558469170801,112.88
中楼层(共28层),1996年,3室1厅,86.68平米,东南,康乐大厦,450,5.191508998615597,86.68
中楼层(共31层),2011年,3室2厅,66.72平米,西,向南瑞峰花园,498,7.4640287769784175,66.72
中楼层(共22层),1995年,3室1厅,104.79平米,北,海珠城,700,6.68002672010688,104.79
低楼层(共28层),1996年,3室2厅,86.66平米,东南,康乐大厦,430,4.96192014770367,86.66
中楼层(共32层),2002年,3室2厅,129.96平米,东南,汇宾广场,675,5.193905817174515,129.96
低楼层(共29层),2003年,3室1厅,115.6平米,东,深航飞行员公寓,630,5.449826989619377,115.6
高楼层(共31层),2013年,3室1厅,56.95平米,东南,阳光里,568,9.973661106233537,56.95
低楼层(共17层),1999年,3室1厅,77.69平米,东,学府花园,580,7.465568284206462,77.69
低楼层(共9层),1999年,3室1厅,85.84平米,东南,鸿瑞花园一期,690,8.03821062441752,85.84
中楼层(共26层),2009年,3室1厅,66.42平米,东,向南海德大厦,515,7.753688647997591,66.42
高楼层(共26层),2002年,3室1厅,95.21平米,南,东方海雅居,690,7.247137905682177,95.21
低楼层(共20层),1999年,3室1厅,85.52平米,北,跃华园,442,5.168381665107577,85.52
高楼层(共7层),1995年,3室2厅,76.22平米,南,康乐园,480,6.297559695617948,76.22
高楼层(共20层),1999年,3室1厅,85.52平米,南,跃华园,430,5.028063610851263,85.52
中楼层(共10层),1994年,3室1厅,74.7平米,东南,华联花园,600,8.032128514056225,74.7
低楼层(共16层),1997年,3室1厅,84.19平米,西南,世纪广场,490,5.820168666112365,84.19
中楼层(共23层),1995年,3室2厅,84.36平米,南,荔园大厦,440,5.215742057847321,84.36
高楼层(共26层),2009年,3室2厅,63.18平米,东,向南海德大厦,468,7.407407407407407,63.18
中楼层(共15层),2002年,3室1厅,96.29平米,西南,福满园,650,6.750441375012981,96.29
中楼层(共29层),2003年,3室2厅,115.6平米,东北,深航飞行员公寓,598,5.173010380622838,115.6
低楼层(共34层),1994年,3室1厅,84.31平米,东北,荟芳园,465,5.515359981022417,84.31
低楼层(共23层),1995年,3室1厅,86.02平米,南,荔园大厦,450,5.231341548477099,86.02
高楼层(共32层),2003年,3室2厅,88.87平米,东北,金晖大厦,588,6.616405986272082,88.87
高楼层(共31层),1993年,3室2厅,102.7平米,东南,愉康大厦,480,4.673807205452775,102.7
中楼层(共17层),2012年,3室2厅,63.58平米,东南,中泰天成南山一品,635,9.987417426863795,63.58
低楼层(共31层),2011年,3室1厅,69.11平米,南,向南瑞峰花园,620,8.971205324844451,69.11
低楼层(共23层),1995年,3室2厅,97.06平米,东北,荔园大厦,480,4.9453946012775605,97.06
中楼层(共9层),2000年,3室1厅,83.07平米,南北西南,金晖大厦,510,6.139400505597689,83.07
中楼层(共18层),2008年,3室2厅,71平米,东南,南荔苑,558,7.859154929577465,71.0
中楼层(共23层),1995年,3室1厅,86.02平米,西北,荔园大厦,455,5.2894675656824,86.02
中楼层(共32层),2003年,3室2厅,76.3平米,南北,金晖大厦,520,6.8152031454783755,76.3
中楼层(共16层),1997年,3室2厅,91.94平米,东,世纪广场,520,5.6558625190341525,91.94
中楼层(共32层),2002年,3室1厅,129.96平米,南,汇宾广场,688,5.293936595875654,129.96
低楼层(共13层),1999年,3室2厅,92.74平米,南,学府花园,613,6.609877075695493,92.74
中楼层(共28层),1996年,3室2厅,86.68平米,西北,康乐大厦,435,5.018458698661744,86.68
高楼层(共29层),2003年,3室2厅,112.36平米,东北,深航飞行员公寓,650,5.784976860092559,112.36
中楼层(共13层),1999年,3室2厅,101.65平米,北,学府花园,660,6.492867683226758,101.65
中楼层(共16层),1997年,3室2厅,84.19平米,东南,世纪广场,490,5.820168666112365,84.19
中楼层(共26层),2002年,3室2厅,104.78平米,东南,东方海雅居,678,6.470700515365528,104.78
中楼层(共29层),2003年,3室2厅,112.36平米,西南,深航飞行员公寓,650,5.784976860092559,112.36
高楼层(共31层),2013年,3室2厅,55.31平米,南,阳光里,550,9.943952269029108,55.31
高楼层(共33层),1995年,3室1厅,120平米,西北,荟芳园,650,5.416666666666667,120.0
高楼层(共23层),1995年,3室1厅,97.06平米,东北,荔园大厦,550,5.666597980630538,97.06
中楼层(共18层),2008年,3室2厅,71.53平米,南,南荔苑,550,7.689081504263945,71.53
中楼层(共32层),2002年,3室1厅,114平米,东南,汇宾广场,580,5.087719298245614,114.0
高楼层(共34层),1994年,3室1厅,84.31平米,东北,荟芳园,498,5.906772624836911,84.31
中楼层(共32层),2002年,3室2厅,99.29平米,西南,汇宾广场,480,4.834323698257629,99.29
低楼层(共31层),2011年,3室2厅,68.13平米,西南,向南瑞峰花园,400,5.871128724497285,68.13
高楼层(共33层),2002年,3室2厅,102.44平米,东北,万象新园,622.8,6.079656384224911,102.44
高楼层(共32层),2002年,3室1厅,107.55平米,西北,万象新园,698,6.490004649000465,107.55
低楼层(共33层),2002年,3室1厅,99.98平米,南,万象新园,575,5.751150230046009,99.98
中楼层(共33层),2002年,3室2厅,99.98平米,东,万象新园,630,6.30126025205041,99.98
低楼层(共32层),2002年,3室1厅,84.59平米,北,万象新园,560,6.620167868542381,84.59
中楼层(共33层),2002年,3室2厅,87.71平米,南,万象新园,520,5.92862843461407,87.71
中楼层(共15层),2004年,3室2厅,88.09平米,东,现代城华庭,520,5.903053695084572,88.09
高楼层(共33层),2002年,3室2厅,99.98平米,东南,万象新园,599,5.99119823964793,99.98
中楼层(共33层),2004年,3室2厅,118.78平米,东南,现代城华庭,688,5.792220912611551,118.78
高楼层(共32层),2002年,3室2厅,104.13平米,南,万象新园,609,5.848458657447422,104.13
中楼层(共21层),1999年,3室2厅,110.3平米,南,海典居,600,5.43970988213962,110.3
低楼层(共21层),1999年,3室2厅,70.45平米,东南西南,海典居,475,6.742370475514549,70.45
中楼层(共32层),2000年,3室2厅,116.59平米,南,怡园大厦,555,4.760271035251737,116.59
高楼层(共26层),2009年,3室1厅,63.94平米,东,向南海德大厦,470,7.3506412261495155,63.94
低楼层(共33层),1995年,3室2厅,120.38平米,西南,荟芳园,560,4.651935537464695,120.38
高楼层(共11层),2000年,3室2厅,70.93平米,南,鸿瑞花园二期,637,8.980685182574367,70.93
中楼层(共26层),2002年,3室2厅,77.36平米,南,东方海雅居,498,6.437435367114788,77.36
中楼层(共10层),1997年,3室1厅,105.44平米,西南,南海城中心,678,6.430197268588771,105.44
中楼层(共9层),1997年,3室2厅,86.87平米,东南,南新苑,535,6.158627834695522,86.87
高楼层(共18层),2008年,3室1厅,71.89平米,南,南荔苑,575,7.99833078314091,71.89
中楼层(共29层),2004年,3室1厅,65平米,西北,西海明珠,560,8.615384615384615,65.0
高楼层(共34层),1995年,3室1厅,84.31平米,西北,荟芳园,488,5.788162732771913,84.31
低楼层(共13层),1999年,3室1厅,92.91平米,东南南,学府花园,620,6.6731245291141965,92.91
高楼层(共22层),1995年,3室1厅,101.69平米,南,海珠城,680,6.686989871177107,101.69
中楼层(共29层),2003年,3室2厅,112.36平米,西南,深航飞行员公寓,630,5.606977572089711,112.36
中楼层(共28层),1996年,3室2厅,86.68平米,南,康乐大厦,475,5.479926165205352,86.68
低楼层(共31层),2003年,3室2厅,78.95平米,西,时代骄子大厦,440,5.573147561747941,78.95
低楼层(共31层),1993年,3室1厅,102.35平米,西南,愉康大厦,580,5.666829506595017,102.35
中楼层(共31层),2003年,3室1厅,78.95平米,东,时代骄子大厦,450,5.699810006333122,78.95
中楼层(共31层),1998年,3室2厅,119.55平米,东北,鹏都大厦,650,5.437055625261397,119.55
中楼层(共32层),2002年,3室1厅,100平米,南北,汇宾广场,580,5.8,100.0
低楼层(共26层),2002年,3室1厅,104.78平米,南,东方海雅居,665,6.346631036457339,104.78
高楼层(共24层),2006年,3室2厅,69.46平米,东南,南海大厦,580,8.350129570976103,69.46
低楼层(共31层),1998年,3室2厅,118.76平米,东南,鹏都大厦,558,4.698551700909397,118.76
低楼层(共31层),2013年,3室2厅,66.98平米,西北,阳光里,585,8.733950432965063,66.98
低楼层(共11层),2002年,3室2厅,96.23平米,东南,荔雅居,660,6.858568014132807,96.23
高楼层(共33层),1996年,3室2厅,129.82平米,南,怡海广场,600,4.621784008627331,129.82
高楼层(共32层),2002年,3室2厅,99.29平米,东南,汇宾广场,550,5.539329237586866,99.29
中楼层(共12层),2004年,3室2厅,79.83平米,南,新街口花园,528,6.614054866591507,79.83
低楼层(共22层),1997年,3室2厅,114.58平米,东,山东大厦,520,4.538313841857217,114.58
高楼层(共22层),1995年,3室2厅,104.79平米,东北,海珠城,628,5.992938257467316,104.79
高楼层(共32层),2000年,3室2厅,98.05平米,北,怡园大厦,460,4.691483936766955,98.05
中楼层(共33层),1996年,3室2厅,111.3平米,南,怡海广场,488,4.384546271338724,111.3
低楼层(共23层),1995年,3室1厅,97.06平米,东南,荔园大厦,478,4.924788790438904,97.06
高楼层(共31层),1998年,3室1厅,124.07平米,北东北,鹏都大厦,620,4.997179011848151,124.07
高楼层(共33层),1996年,3室2厅,129.82平米,南,怡海广场,612,4.714219688799877,129.82
中楼层(共20层),1999年,3室2厅,87.45平米,东南,跃华园,410,4.688393367638651,87.45
中楼层(共33层),1997年,3室2厅,120平米,西北,荟芳园,580,4.833333333333333,120.0
高楼层(共31层),2003年,3室1厅,78.62平米,东,金晖大厦,510,6.486899007886033,78.62
高楼层(共31层),1993年,3室1厅,78.6平米,西北,愉康大厦,460,5.852417302798982,78.6
中楼层(共20层),2002年,3室1厅,68.38平米,西,四达大厦,450,6.580871599883007,68.38
中楼层(共31层),1993年,3室2厅,102.35平米,东南,愉康大厦,510,4.982901807523205,102.35
中楼层(共32层),2000年,3室2厅,98.05平米,南,怡园大厦,490,4.997450280469149,98.05
高楼层(共31层),2011年,3室2厅,64.2平米,东,向南瑞峰花园,520,8.09968847352025,64.2
中楼层(共31层),2011年,3室1厅,66.72平米,西,向南瑞峰花园,515,7.718824940047962,66.72
高楼层(共28层),1996年,3室2厅,86.68平米,东南,康乐大厦,448,5.168435625288417,86.68
中楼层(共14层),2003年,3室2厅,73.23平米,西北,海岸明珠园,700,9.558923938276662,73.23
低楼层(共26层),2009年,3室2厅,66.45平米,东南,向南海德大厦,479,7.208427389014296,66.45
低楼层(共28层),1996年,3室2厅,86.66平米,东南,康乐大厦,450,5.1927071313177935,86.66
高楼层(共32层),2002年,3室2厅,99平米,南,汇宾广场,520,5.252525252525253,99.0
中楼层(共32层),2000年,3室2厅,98平米,北,怡园大厦,468,4.775510204081633,98.0
中楼层(共31层),1993年,3室2厅,102.47平米,东南,愉康大厦,480,4.684297843271201,102.47
低楼层(共18层),1999年,3室2厅,82.19平米,东南,天源大厦,469,5.706290302956564,82.19
低楼层(共32层),2002年,3室2厅,129.97平米,南,汇宾广场,700,5.385858274986536,129.97
高楼层(共31层),2011年,3室2厅,64.2平米,西,向南瑞峰花园,510,7.943925233644859,64.2
低楼层(共22层),1995年,3室2厅,101.69平米,西南,海珠城,598,5.880617563182221,101.69
低楼层(共21层),2001年,3室2厅,89平米,东南,缤纷假日豪园,658,7.393258426966292,89.0
高楼层(共26层),2009年,3室1厅,66.45平米,东,向南海德大厦,468,7.042889390519187,66.45
低楼层(共23层),1995年,3室1厅,86.02平米,南,荔园大厦,459,5.335968379446641,86.02
高楼层(共33层),1995年,3室1厅,120.38平米,西北东北,荟芳园,545,4.527330121282605,120.38
低楼层(共32层),2002年,3室1厅,129.96平米,南,汇宾广场,645,4.963065558633425,129.96
中楼层(共33层),1995年,3室1厅,120.38平米,东南,荟芳园,570,4.735005814919422,120.38
中楼层(共31层),1998年,3室2厅,119.55平米,东南南,鹏都大厦,699,5.846925972396487,119.55
高楼层(共31层),2011年,3室1厅,64.1平米,西,向南瑞峰花园,530,8.26833073322933,64.1
中楼层(共25层),2004年,3室1厅,100.31平米,南,中润百分百公寓,638,6.360283122320805,100.31
中楼层(共31层),1993年,3室2厅,102.35平米,南北,愉康大厦,480,4.689789936492428,102.35
中楼层(共29层),2003年,3室2厅,115.59平米,东南,深航飞行员公寓,630,5.450298468725668,115.59
高楼层(共18层),2008年,3室2厅,71.89平米,南北,南荔苑,580,8.067881485603005,71.89
高楼层(共31层),1993年,3室2厅,102.35平米,东,愉康大厦,480,4.689789936492428,102.35
高楼层(共22层),1995年,3室2厅,101.69平米,西,海珠城,698,6.863998426590618,101.69
中楼层(共31层),2013年,3室2厅,66.98平米,北,阳光里,600,8.957897879964168,66.98
高楼层(共16层),1998年,3室1厅,74.4平米,东南,世纪广场,425,5.712365591397849,74.4
低楼层(共32层),2002年,3室1厅,114.09平米,东,汇宾广场,660,5.7849066526426505,114.09
低楼层(共31层),2011年,3室2厅,63.12平米,西,向南瑞峰花园,490,7.76299112801014,63.12
高楼层(共33层),2010年,3室1厅,57.57平米,南,汉京山,550,9.553586937641132,57.57
低楼层(共32层),2000年,3室1厅,98.05平米,南,怡园大厦,490,4.997450280469149,98.05
高楼层(共31层),2013年,3室2厅,66.84平米,西北,阳光里,699,10.457809694793536,66.84
低楼层(共26层),2002年,3室2厅,77.36平米,西,东方海雅居,480,6.204756980351603,77.36
高楼层(共28层),1996年,3室1厅,86.52平米,东南,康乐大厦,490,5.6634304207119746,86.52
中楼层(共29层),2003年,3室1厅,112.36平米,东南,深航飞行员公寓,660,5.873976504093983,112.36
高楼层(共31层),2011年,3室1厅,64.31平米,东,向南瑞峰花园,650,10.10729280049759,64.31
高楼层(共31层),2013年,3室2厅,59.81平米,西南,阳光里,590,9.864571141949506,59.81
高楼层(共28层),1996年,3室2厅,86.66平米,南东,康乐大厦,458,5.285021924763443,86.66
低楼层(共31层),2011年,3室1厅,64.1平米,西,向南瑞峰花园,499,7.784711388455539,64.1
低楼层(共20层),2002年,3室1厅,68.38平米,西北,四达大厦,450,6.580871599883007,68.38
低楼层(共34层),1994年,3室2厅,84.31平米,东北,荟芳园,480,5.693274819119915,84.31
中楼层(共32层),2000年,3室2厅,116.59平米,南西南,怡园大厦,620,5.317780255596535,116.59
高楼层(共31层),2011年,3室2厅,82.76平米,南,向南瑞峰花园,680,8.216529724504591,82.76
高楼层(共11层),2002年,3室2厅,90.23平米,东北,龙泰轩,598,6.62750748088219,90.23
中楼层(共12层),2004年,3室1厅,79.83平米,南,新街口花园,548,6.864587247901792,79.83
低楼层(共11层),2000年,3室2厅,97.73平米,南,中海丽苑,638,6.528189910979228,97.73
低楼层(共20层),1999年,3室1厅,85.5平米,南,跃华园,520,6.081871345029239,85.5
高楼层(共32层),2000年,3室2厅,98.05平米,东南,怡园大厦,580,5.915349311575727,98.05
中楼层(共18层),2008年,3室1厅,71.96平米,南,南荔苑,570,7.921067259588661,71.96
低楼层(共26层),2002年,3室2厅,104.78平米,西北,东方海雅居,649,6.193930139339568,104.78
高楼层(共22层),1995年,3室2厅,101.69平米,南,海珠城,650,6.391975612154588,101.69
中楼层(共32层),2000年,3室1厅,98.05平米,东南,怡园大厦,520,5.303416624171342,98.05
低楼层(共23层),1995年,3室2厅,97.06平米,东南,荔园大厦,578,5.955079332371729,97.06
低楼层(共24层),2016年,3室2厅,124.57平米,南,凯德公园1号,680,5.458778196997672,124.57
中楼层(共26层),2002年,3室1厅,78.26平米,西,东方海雅居,605,7.7306414515716835,78.26
低楼层(共28层),1996年,3室2厅,86.52平米,东南,康乐大厦,435,5.027739251040222,86.52
高楼层(共26层),2009年,3室2厅,63.69平米,东南,向南海德大厦,490,7.6935154655361915,63.69
